rank,link,title,rating,year,country,director,genre,poster_url,poster_path
1,https://movie.douban.com/subject/1292052/,肖申克的救赎,9.7,1994,美国,弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins,犯罪 剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,posters\001_肖申克的救赎.jpg
2,https://movie.douban.com/subject/1291546/,霸王别姬,9.6,1993,中国大陆 中国香港,陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung,剧情 爱情 同性,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.jpg,posters\002_霸王别姬.jpg
3,https://movie.douban.com/subject/1292722/,泰坦尼克号,9.5,1997,美国 墨西哥,"詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...
                            1997",剧情 爱情 灾难,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,posters\003_泰坦尼克号.jpg
4,https://movie.douban.com/subject/1292720/,阿甘正传,9.5,1994,美国,罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks,剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,posters\004_阿甘正传.jpg
5,https://movie.douban.com/subject/1291561/,千与千寻,9.4,2001,日本,宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi,剧情 动画 奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,posters\005_千与千寻.jpg
6,https://movie.douban.com/subject/1292063/,美丽人生,9.5,1997,意大利,"罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...
                            1997",剧情 喜剧 爱情 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,posters\006_美丽人生.jpg
7,https://movie.douban.com/subject/1889243/,星际穿越,9.4,2014,美国 英国 加拿大,"克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...
                            2014",剧情 科幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,posters\007_星际穿越.jpg
8,https://movie.douban.com/subject/1295644/,这个杀手不太冷,9.4,1994,法国 美国,吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno,剧情 动作 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.jpg,posters\008_这个杀手不太冷.jpg
9,https://movie.douban.com/subject/3541415/,盗梦空间,9.4,2010,美国 英国,"克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...
                            2010",剧情 科幻 悬疑 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,posters\009_盗梦空间.jpg
10,https://movie.douban.com/subject/1292064/,楚门的世界,9.4,1998,美国,彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey,剧情 科幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,posters\010_楚门的世界.jpg
11,https://movie.douban.com/subject/1295124/,辛德勒的名单,9.5,1993,美国,"史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...
                            1993",剧情 历史 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,posters\011_辛德勒的名单.jpg
12,https://movie.douban.com/subject/3011091/,忠犬八公的故事,9.4,2009,美国 英国,"莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...
                            2009",剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,posters\012_忠犬八公的故事.jpg
13,https://movie.douban.com/subject/1292001/,海上钢琴师,9.3,1998,意大利,朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth,剧情 音乐,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.jpg,posters\013_海上钢琴师.jpg
14,https://movie.douban.com/subject/25662329/,疯狂动物城,9.3,2016,美国,拜伦·霍华德 Byron Howard,喜剧 动画 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2924128964.jpg,posters\014_疯狂动物城.jpg
15,https://movie.douban.com/subject/3793023/,三傻大闹宝莱坞,9.2,2009,印度,拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan,剧情 喜剧 爱情 歌舞,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,posters\015_三傻大闹宝莱坞.jpg
16,https://movie.douban.com/subject/2131459/,机器人总动员,9.3,2008,美国,安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt,科幻 动画 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,posters\016_机器人总动员.jpg
17,https://movie.douban.com/subject/1291549/,放牛班的春天,9.3,2004,法国 瑞士 德国,"克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...
                            2004",剧情 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,posters\017_放牛班的春天.jpg
18,https://movie.douban.com/subject/1307914/,无间道,9.3,2002,中国香港,刘伟强,剧情 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,posters\018_无间道.jpg
19,https://movie.douban.com/subject/1296141/,控方证人,9.6,1957,美国,比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power,剧情 犯罪 悬疑 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.jpg,posters\019_控方证人.jpg
20,https://movie.douban.com/subject/1292213/,大话西游之大圣娶亲,9.2,1995,中国香港 中国大陆,刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow,喜剧 爱情 奇幻 古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,posters\020_大话西游之大圣娶亲.jpg
21,https://movie.douban.com/subject/5912992/,熔炉,9.3,2011,韩国,黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,posters\021_熔炉.jpg
22,https://movie.douban.com/subject/20495023/,寻梦环游记,9.1,2017,美国,李·昂克里奇 Lee Unkrich,喜剧 动画 奇幻 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg,posters\022_寻梦环游记.jpg
23,https://movie.douban.com/subject/6786002/,触不可及,9.3,2011,法国,奥利维·那卡什 Olivier Nakache,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,posters\023_触不可及.jpg
24,https://movie.douban.com/subject/1291841/,教父,9.3,1972,美国,"弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...
                            1972",剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,posters\024_教父.jpg
25,https://movie.douban.com/subject/1849031/,当幸福来敲门,9.1,2006,美国,"加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
                            2006",剧情 传记 家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,posters\025_当幸福来敲门.jpg
26,https://movie.douban.com/subject/1293172/,末代皇帝,9.3,1987,英国 意大利 中国大陆 法国,贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone,剧情 传记 历史,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,posters\026_末代皇帝.jpg
27,https://movie.douban.com/subject/1295038/,哈利·波特与魔法石,9.2,2001,美国 英国,Chris Columbus   主演: Daniel Radcliffe,奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.jpg,posters\027_哈利·波特与魔法石.jpg
28,https://movie.douban.com/subject/1291560/,龙猫,9.2,1988,日本,宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka,动画 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,posters\028_龙猫.jpg
29,https://movie.douban.com/subject/1292365/,活着,9.3,1994,中国大陆 中国香港,张艺谋 Yimou Zhang   主演: 葛优 You Ge,剧情 历史 家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,posters\029_活着.jpg
30,https://movie.douban.com/subject/3319755/,怦然心动,9.1,2010,美国,罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll,剧情 喜剧 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,posters\030_怦然心动.jpg
31,https://movie.douban.com/subject/1851857/,蝙蝠侠：黑暗骑士,9.2,2008,美国 英国,"克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008",剧情 动作 科幻 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,posters\031_蝙蝠侠：黑暗骑士.jpg
32,https://movie.douban.com/subject/1291552/,指环王3：王者无敌,9.3,2003,美国 新西兰,彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood,剧情 动作 奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,posters\032_指环王3：王者无敌.jpg
33,https://movie.douban.com/subject/26752088/,我不是药神,9.0,2018,中国大陆,文牧野 Muye Wen   主演: 徐峥 Zheng Xu,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,posters\033_我不是药神.jpg
34,https://movie.douban.com/subject/1300267/,乱世佳人,9.3,1939,美国,维克多·弗莱明 Victor Fleming,剧情 历史 爱情 战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,posters\034_乱世佳人.jpg
35,https://movie.douban.com/subject/2129039/,飞屋环游记,9.1,2009,美国,彼特·道格特 Pete Docter,剧情 喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg,posters\035_飞屋环游记.jpg
36,https://movie.douban.com/subject/3742360/,让子弹飞,9.0,2010,中国大陆 中国香港,姜文 Wen Jiang   主演: 姜文 Wen Jiang,剧情 喜剧 动作 西部,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,posters\036_让子弹飞.jpg
37,https://movie.douban.com/subject/1308807/,哈尔的移动城堡,9.1,2004,日本,宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô,爱情 动画 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg,posters\037_哈尔的移动城堡.jpg
38,https://movie.douban.com/subject/1293182/,十二怒汉,9.4,1957,美国,西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,posters\038_十二怒汉.jpg
39,https://movie.douban.com/subject/25958717/,海蒂和爷爷,9.3,2015,德国 瑞士,阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen,剧情 冒险 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,posters\039_海蒂和爷爷.jpg
40,https://movie.douban.com/subject/21937452/,素媛,9.3,2013,韩国,李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,posters\040_素媛.jpg
41,https://movie.douban.com/subject/1305487/,猫鼠游戏,9.1,2002,美国 加拿大,"史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002",传记 犯罪 剧情,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,posters\041_猫鼠游戏.jpg
42,https://movie.douban.com/subject/1291583/,天空之城,9.2,1986,日本,宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka,动画 奇幻 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.jpg,posters\042_天空之城.jpg
43,https://movie.douban.com/subject/1291858/,鬼子来了,9.3,2000,中国大陆,姜文 Wen Jiang   主演: 姜文 Wen Jiang,剧情 喜剧,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,posters\043_鬼子来了.jpg
44,https://movie.douban.com/subject/26387939/,摔跤吧！爸爸,9.0,2016,印度,涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan,剧情 传记 运动 家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,posters\044_摔跤吧！爸爸.jpg
